condition,trial,cs_plus_side,n_steps,requested_run_time_s,simulated_time_s,stopped_early,final_x,final_y,final_z,path_length,mean_y,signed_final_y,distance_to_cs_plus,distance_to_cs_minus,choice,video_frame_count,video_duration_s,render_device,video_path,trajectory_path,plot_path,cs_plus_odor,cs_minus_odor,unconditioned_stimulus,memory_phase,mb_perturbation,expected_behavior,biological_question,source_forward_drive,source_turning_drive,source_feeding_drive,choice_is_cs_plus,approach_margin,expected_choice_met,assay_side_role,early_time_s,physical_lateral_displacement,signed_early_lateral_displacement,expected_early_lateral_displacement,early_signed_lateral_velocity_to_cs_plus,early_expected_lateral_velocity,signed_lateral_velocity_to_cs_plus,expected_lateral_velocity,physical_laterality_index,cs_plus_laterality_index,expected_laterality_index,net_heading_rad,signed_net_heading_to_cs_plus_rad,early_heading_rad,signed_early_heading_to_cs_plus_rad,physical_curvature_rad_per_mm,signed_curvature_to_cs_plus_rad_per_mm,expected_curvature_rad_per_mm,time_to_expected_zone_s
mch_sucrose_appetitive_wt_counterbalanced,5,right,2000,0.2,0.2,False,1.2362735271453857,-0.15839536488056183,1.1104143857955933,1.6879453026514866,-0.00859357788757734,0.15839536488056183,3.9639501660704166,4.196861362691937,CS+,0,0.0,1,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.2329111966215205,1.0,nominal,0.05002501250625313,-0.1657020049169659,-0.0087944576516747,-0.0087944576516747,-0.17580120845697725,-0.17580120845697725,0.8285100245848295,0.8285100245848295,-0.09816787585277503,0.09816787585277503,0.09816787585277503,-0.13501401053069323,0.13501401053069323,0.049086055501219084,-0.049086055501219084,2.7186225750863535,-2.7186225750863535,-2.7186225750863535,
mch_sucrose_appetitive_wt_counterbalanced,5,left,2000,0.2,0.2,False,1.3653641939163208,0.06821568310260773,1.1229541301727295,1.9996229495226394,0.0004793048952869867,0.06821568310260773,3.9416576603636835,4.044162868720176,CS+,0,0.0,3,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.10250520835649235,1.0,mirror,0.05002501250625313,0.0609088474884629,-0.0304975463077425,-0.0304975463077425,-0.6096459506917725,-0.6096459506917725,0.30454423744231446,0.30454423744231446,0.03046016625434479,0.03046016625434479,0.03046016625434479,0.04512315983979804,0.04512315983979804,-0.15824024376769483,-0.15824024376769483,3.6347960018628602,3.6347960018628602,3.6347960018628602,
mch_sucrose_appetitive_wt_counterbalanced,6,right,2000,0.2,0.2,False,1.163305401802063,-0.27406197786331177,1.0564265251159668,2.2147604526746028,-0.06414980495295003,0.27406197786331177,3.934154844941393,4.332010858520045,CS+,0,0.0,2,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.39785601357865197,1.0,nominal,0.05002501250625313,-0.28136910405009974,-0.032249585725367104,-0.032249585725367104,-0.6446692186500883,-0.6446692186500883,1.4068455202504986,1.4068455202504986,-0.12704268026382312,0.12704268026382312,0.12704268026382312,-0.24058665247541564,0.24058665247541564,0.11014960538153684,-0.11014960538153684,2.7326923652606174,-2.7326923652606174,-2.7326923652606174,
mch_sucrose_appetitive_wt_counterbalanced,6,left,2000,0.2,0.2,False,1.2736332416534424,0.29329243302345276,1.0379844903945923,2.0945935725202554,0.035413371406761145,0.29329243302345276,3.8417888481988722,4.275377264105082,CS+,0,0.0,0,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.43358841590620933,1.0,mirror,0.05002501250625313,0.2859854744747281,-0.09312025737017379,-0.09312025737017379,-1.861473944829774,-1.861473944829774,1.4299273723736405,1.4299273723736405,0.13653506734035512,0.13653506734035512,0.13653506734035512,0.22367389549733754,0.22367389549733754,-0.2826441308131075,-0.2826441308131075,-0.5199107451307415,-0.5199107451307415,-0.5199107451307415,
mch_sucrose_appetitive_wt_counterbalanced,7,right,2000,0.2,0.2,False,1.3138757944107056,-0.14431989192962646,1.1137480735778809,2.101473792362298,-0.020511308344062854,0.14431989192962646,3.920481109185649,4.135457753458141,CS+,0,0.0,3,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.21497664427249186,1.0,nominal,0.05002501250625313,-0.1516263769008218,-0.00020108371973039975,-0.00020108371973039975,-0.004019663557410691,-0.004019663557410691,0.7581318845041091,0.7581318845041091,-0.07215239964062381,0.07215239964062381,0.07215239964062381,-0.11633893266483762,0.11633893266483762,0.0006470232678313011,-0.0006470232678313011,0.32504897633335217,-0.32504897633335217,-0.32504897633335217,
mch_sucrose_appetitive_wt_counterbalanced,7,left,2000,0.2,0.2,False,1.2017930746078491,0.27593258023262024,1.0792275667190552,1.8964574096266416,0.03233641078684013,0.27593258023262024,3.9051895350610963,4.30832870931898,CS+,0,0.0,1,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.4031391742578836,1.0,mirror,0.05002501250625313,0.2686259127222002,-0.0382632673718034,-0.0382632673718034,-0.7648827147623498,-0.7648827147623498,1.343129563611001,1.343129563611001,0.14164616160564608,0.14164616160564608,0.14164616160564608,0.2228576905060273,0.2228576905060273,-0.18075381370270746,-0.18075381370270746,-5.524110386129915,-5.524110386129915,-5.524110386129915,
mch_sucrose_appetitive_wt_counterbalanced,8,right,2000,0.2,0.2,False,0.9049198627471924,0.041951246559619904,1.1175622940063477,1.868335355764916,0.08198748708793027,-0.041951246559619904,4.339699118886295,4.281305114535408,CS-,0,0.0,0,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,0.0,-0.0583940043508866,0.0,nominal,0.05002501250625313,0.034643998369574595,-0.0468508396297693,-0.0468508396297693,-0.9365482841990882,-0.9365482841990882,-0.17321999184787296,-0.17321999184787296,0.018542708760864283,-0.018542708760864283,-0.018542708760864283,0.03897290569117129,-0.03897290569117129,0.27668643096275286,-0.27668643096275286,-6.83855261175057,6.83855261175057,6.83855261175057,
mch_sucrose_appetitive_wt_counterbalanced,8,left,2000,0.2,0.2,False,1.040360689163208,0.26736944913864136,0.9428228735923767,1.7059689416259514,0.1369142255099141,0.26736944913864136,4.0282421200507965,4.408533539331988,CS+,0,0.0,2,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.3802914192811917,1.0,mirror,0.05002501250625313,0.2600623019970953,0.040238960180431604,0.040238960180431604,0.8043768140068277,0.8043768140068277,1.3003115099854763,1.3003115099854763,0.15244257714869713,0.15244257714869713,0.15244257714869713,0.24872851653229294,0.24872851653229294,0.35729096256162124,0.35729096256162124,3.394140040874154,3.394140040874154,3.394140040874154,
mch_sucrose_appetitive_wt_counterbalanced,9,right,2000,0.2,0.2,False,1.2366316318511963,-0.050879281014204025,1.1323926448822021,1.8399338237441714,0.013010866597959648,0.050879281014204025,4.041474700308871,4.1163174228194706,CS+,0,0.0,1,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.0748427225105992,1.0,nominal,0.05002501250625313,-0.0581861841492354,-0.0428192694671452,-0.0428192694671452,-0.8559571966482324,-0.8559571966482324,0.290930920746177,0.290930920746177,-0.031624063538779605,0.031624063538779605,0.031624063538779605,-0.04765020288671199,0.04765020288671199,0.2224172360499415,-0.2224172360499415,13.82411187562781,-13.82411187562781,-13.82411187562781,
mch_sucrose_appetitive_wt_counterbalanced,9,left,2000,0.2,0.2,False,1.369594693183899,0.10717511922121048,1.055504560470581,2.2369755169665257,0.06772068936936922,0.10717511922121048,3.9099191639954816,4.071064885215372,CS+,0,0.0,3,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.16114572121989035,1.0,mirror,0.05002501250625313,0.09986802423372859,0.0331446886993945,0.0331446886993945,0.662562327100896,0.662562327100896,0.49934012116864296,0.49934012116864296,0.04464421871239596,0.04464421871239596,0.04464421871239596,0.0736705621757732,0.0736705621757732,0.19930397059835164,0.19930397059835164,0.8891809480891549,0.8891809480891549,0.8891809480891549,
