condition,behavior_condition,root_id,priority_score,abs_score,score,target_direction,side,cell_class,cell_type,hemibrain_type,top_nt,mean_approach_margin,behavioral_side_asymmetry,memory_axis_abs_mass,response_laterality_abs,min_empirical_fdr_q
right_serotonin_kc_activate,right_mb_serotonin_enriched,720575940626315010,0.023804800141189263,0.0122004105,0.009602977,activated,right,MBON,MBON13,MBON13,acetylcholine,3.310999855144108,-5.354379443050295,1.1075391918420792,0.8429483436767284,0.0381633870005963
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,,720575940620975696,0.2487220625,0.19897765,0.11585966,activated,left,MBIN,DPM,DPM,dopamine,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,,720575940624547622,0.18690996250000003,0.14952797,0.11787094,activated,left,MBIN,APL,APL,gaba,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,,720575940624590316,0.06868512655,0.059726197,0.054760102,activated,right,MBON,MBON03,MBON03,glutamate,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,,720575940629981440,0.037572952949999995,0.032672133,0.03140755,activated,left,MBON,MBON26,MBON26,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,,720575940628734376,0.0341002646,0.029652404,0.028806321,activated,right,MBON,MBON04,MBON04,glutamate,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,,720575940610964946,0.027221784549999996,0.023671117,0.021203095,activated,right,MBON,MBON09,MBON09,gaba,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,,720575940630864847,0.026645880649999995,0.023170331,0.020469429,activated,right,MBON,MBON09,MBON09,gaba,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,,720575940614595218,0.02644052975,0.022991765,0.022511264,activated,left,MBON,MBON28,MBON28,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,,720575940624117245,0.0254055792,0.022091808,0.0111200195,activated,right,MBON,MBON01,MBON01,glutamate,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,,720575940627594568,0.0246753036,0.020562753,0.017255237,activated,left,DAN,PPL103,PPL103,dopamine,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,,720575940621828443,0.0198485676,0.017259624,0.0146021275,activated,left,MBON,MBON12,MBON12,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,,720575940630075703,0.01912803625,0.016633075,0.014148619,activated,left,MBON,MBON12,MBON12,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,,720575940620975696,0.2370327375,0.18962619,0.10636238,activated,left,MBIN,DPM,DPM,dopamine,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,,720575940624547622,0.18093256249999998,0.14474605,0.112436436,activated,left,MBIN,APL,APL,gaba,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,,720575940624590316,0.0857804849,0.074591726,0.07029766,activated,right,MBON,MBON03,MBON03,glutamate,,,,,
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,,720575940645304430,0.045384853499999996,0.03946509,0.03703921,activated,left,MBON,MBON13,MBON13,acetylcholine,,,,,
